2164.5	2169.6	/samp130
2141.8	2146.9	/samp129
2127	2132.1	/samp128
2114	2119.1	/samp127
2093.6	2096.8	/samp125
2079.7	2084.8	/samp124
2043.4	2048.5	/samp123
2019	2024.1	/samp122
1980.6	1985.7	/samp121
1954.8	1959.9	/samp120
1938.7	1943.8	/samp119
1925	1930.1	/samp118
1910.2	1915.3	/samp117
1894.7	1899.8	/samp116
1880.8	1885.9	/samp115
1866.6	1871.7	/samp114
1852.2	1857.3	/samp113
1834	1839.1	/samp112
1820.3	1825.4	/samp111
1807.2	1812.3	/samp110
1785.5	1789.2	/samp109
1770.1	1775.2	/samp108
1736.5	1741.6	/samp107
1723.7	1728.8	/samp106
1701.1	1706.2	/samp105
1684.5	1689.6	/samp104
1672.1	1677.2	/samp103
1660.6	1665.7	/samp102
1651.3	1656.4	/samp101
1636.2	1641.3	/samp100
1621.7	1626.8	/samp99
1609.6	1614.7	/samp98
1601.9	1607	/samp97
1573.5	1578.6	/samp96
1555.5	1560.6	/samp95
1526.4	1531.5	/samp94
1509.3	1514.4	/samp93
1480	1485.1	/samp92
1427.7	1432.8	/samp90
1410.5	1415.6	/samp89
1371.5	1376.6	/samp87
1354.6	1359.7	/samp86
1339.7	1344.8	/samp85
1329.7	1334.8	/samp84
1313.1	1318.2	/samp83
1306.4	1310.3	/samp82
1290.9	1296	/samp81
1286.6	1289.4	/samp80
1270.3	1275.4	/samp79
1253.2	1258.3	/samp78
1249.5	1252	/samp77
1189.8	1194.9	/samp76
1177.7	1182.8	/samp75
1165.2	1170.3	/samp74
1152.9	1158	/samp73
1140.3	1145.4	/samp72
1126	1131.1	/samp71
1112.1	1117.2	/samp70
1098.9	1104	/samp69
1088.1	1093.2	/samp68
1073.5	1078.6	/samp67
1064.7	1069.8	/samp66
1034.8	1039.9	/samp65
1013.1	1018.2	/samp64
985.7	990.8	/samp63
973.4	978.5	/samp62
938.9	944	/samp61
921.1	926.2	/samp60
904.9	910	/samp59
891.3	896.4	/samp58
876	881.1	/samp57
863	868.1	/samp56
836.7	841.8	/samp54
824.3	829.4	/samp53
809.2	814.3	/samp52
790.6	795.7	/samp51
769.7	774.8	/samp50
753.5	758.6	/samp49
740.4	745.5	/samp48
727.3	732.4	/samp47
718.9	724	/samp46
690.6	695.7	/samp45
680.3	685.4	/samp44
671	676.1	/samp43
